PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
81,20C,20,C,2,1,2,3,2,R,Y,E,W,3,1,2,11,L,B,E,S,5,112,0,6,1,11,7,0,23,,,,,,,,,0,1,1030,42.97778,6.73
81,20C,20,C,2,2,1,1,12,L,Y,E,S,8,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1127,42.97778,6.73
81,20C,20,C,2,3,2,1,12,F,D,E,W,1,,,,,,,,,60,0,4,6,6,7,6,0,,,,,,,,,0,1,1229,42.97778,6.73
81,21C,21,C,2,1,1,2,12,F,Z,E,W,2,,,,,,,,,60,0,0,3,8,14,14,0,,,,,,,,,0,1,880,42.97778,6.73
81,21C,21,C,2,2,1,1,6,B,L,E,W,3,,,,,,,,,64,15,11,8,4,1,0,0,,,,,,,,,0,1,1091,42.97778,6.73
81,22D,22,D,2,2,1,1,6,B,Y,E,W,1,,,,,,,,,67,9,8,6,5,4,1,0,,,,,,,,,0,1,1081,65.1372,10.2
81,23H,23,H,2,1,1,2,12,F,L,L,S,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1055,1551.798,243
81,23H,23,H,2,2,1,1,12,F,R,E,E,1,,,,,,,,,72,0,1,,,,,0,,,,,,,,,0,1,1160,1551.798,243
81,25D,25,D,2,1,1,2,12,F,D,E,W,2,,,,,,,,,72,6,7,9,14,17,17,0,,,,,,,,,0,1,1150,65.1372,10.2
81,25D,25,D,2,2,1,1,12,F,D,E,W,2,,,,,,,,,59,10,8,4,2,0,0,0,,,,,,,,,0,1,921,65.1372,10.2
81,26E,26,E,2,1,1,3,U,9,9,9,9,U,2,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1055,362.0862,56.7
81,26E,26,E,2,2,2,1,11,F,D,E,W,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,965,362.0862,56.7
81,26E,26,E,2,3,1,1,12,F,L,E,E,9,,,,,,,,,71,12,4,1,1,0,0,0,,,,,,,,,0,1,1315,362.0862,56.7
81,27G,27,G,2,1,1,2,10,L,P,E,W,3,,,,,,,,,87,0,1,7,11,3,0,-38,,,,,,,,,0,0,957,1111.164,174
81,27G,27,G,2,2,1,1,1,F,Y,E,W,1,,,,,,,,,68,0,0,1,1,2,2,19,,,,,,,,,0,0,1110,1111.164,174
81,28A,28,A,2,1,1,2,62,R,Z,E,W,3,,,,,,,,,140,0,1,14,18,3,1,-39,,,,,,,,,0,1,1160,16.73132,2.62
81,28A,28,A,2,2,1,1,11,F,D,E,W,2,,,,,,,,,60,20,7,4,4,3,2,0,,,,,,,,,0,1,1055,16.73132,2.62
81,29D,29,D,2,1,1,52,12,F,R,E,E,6,,,,,,,,,55,1,3,4,6,7,13,0,,,,,,,,,0,1,953,65.1372,10.2
81,30F,30,F,2,1,1,61,0,U,D,D,S,9,2,44,12,L,D,E,S,9,,,,,,,,,,,,,,,,,1,1,1081,461.0692,72.2
81,31D,31,D,2,1,3,52,6,B,R,L,N,1,1,2,2,R,Z,E,W,2,64,0,1,2,2,3,0,1,109,0,1,9,4,0,0,-20,0,1,1049,65.1372,10.2
81,31D,31,D,2,2,1,1,12,F,Z,E,W,1,2,3,10,L,B,E,N,1,68,0,1,1,3,4,6,0,21,2,1,3,3,1,0,-75,0,1,1110,65.1372,10.2
81,31D,31,D,2,3,2,2,12,F,L,E,N,1,,,,,,,,,75,1,1,0,0,0,0,0,,,,,,,,,0,1,1210,65.1372,10.2
