PSUWGT,NATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
1,108.188,76,0,103C,103,C,2,1,88,7,473,31,1B7HD14Y3J,1,U,0,C,25,U,51,1,1,1,36,0,0,0,0,0,0,250,50,4,U,U,U,U,0,1,17,0,1,8,3,N,88,1,U
1,108.188,76,0,103C,103,C,2,2,78,89,998,88,670067860,0,5,0,C,25,U,50,,,,,,,,,,,,,,,,,,,,9,N,N,8,N,N,N,N,
1.6,173.1008,76,0,104F,104,F,2,1,73,30,32,2,1132436200,1,30,0,C,25,3,6,1,2,2,18,0,1,0,0,0,0,998,998,1,18,-17,6,227,1,1,10,0,2,1,4,998,98,1,2
1.6,173.1008,76,0,105F,105,F,2,1,77,49,33,2,RA24105900,1,U,1,C,45,1,2,1,2,2,26,0,1,0,2,0,0,997,997,5,U,U,U,U,0,1,10,0,2,1,4,998,98,1,1
4,432.752,76,0,106G,106,G,2,1,80,14,6,4,0Z62F60100,0,10,0,C,55,1,87,1,1,0,36,0,1,0,0,0,0,350,270,5,U,U,U,U,0,0,11,N,N,1,N,N,N,N,0
4,432.752,76,0,106G,106,G,2,2,87,30,40,4,WVWGA0160H,1,55,0,C,55,3,86,1,3,3,24,0,1,0,0,0,0,270,350,5,U,U,U,U,0,1,17,0,0,2,0,36,4,0,0
4,432.752,76,0,107G,107,G,2,1,87,13,1,4,1LNBM81F3H,1,50,0,C,35,1,1,1,2,2,41,0,0,0,0,0,0,998,998,5,U,U,U,U,0,0,17,0,0,1,0,N,N,0,U
6,649.128,76,0,108H,108,H,2,1,75,12,473,31,F10HLW0300,1,40,3,C,55,2,7,1,1,1,23,0,0,0,0,0,0,998,998,6,U,U,U,U,0,2,11,0,1,8,0,998,98,1,0
1.6,173.1008,76,0,109F,109,F,2,1,74,7,8,2,JH23G4B100,1,70,0,C,55,3,24,1,3,3,37,0,1,0,0,U,U,10,90,4,U,U,U,U,0,0,13,0,1,2,6,N,N,1,0
1.6,173.1008,76,0,109F,109,F,2,2,59,29,398,14,5416843300,1,30,0,C,55,7,25,1,1,1,33,0,0,0,U,0,0,10,90,4,U,U,U,U,0,1,10,0,1,8,6,998,98,1,0
1.3,140.6444,76,0,110E,110,E,2,1,73,12,10,4,3B27F22200,1,0,0,C,45,U,21,1,3,3,38,0,0,0,0,U,U,270,270,6,U,U,U,U,0,0,11,0,3,1,3,N,N,1,U
