PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
3.714,296.80857143,395.20942052,1,0,53E,53,E,3,2,87,12,17,4,1FABP52D0H,0,U,0,C,40,U,20,1,1,0,29,0,0,0,0,U,0,210,210,6,U,U,U,U,0,2,17,N,N,2,N,U,9,N,U
1.000,79.91,108.9694832,1,1,54C,54,C,3,1,90,20,19,2,1G1LV14G9L,1,U,1,19,40,U,1,1,1,1,26,0,1,2,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,U
18.000,1438.38,1973.4980356,1,0,55G,55,G,3,1,83,7,7,4,2B3BG26S9D,0,U,0,C,30,U,50,1,1,0,34,0,0,0,0,1,0,229,74,5,U,U,U,U,0,2,17,N,N,1,N,22,2,N,U
18.000,1438.38,1973.4980356,1,1,55G,55,G,3,2,90,35,43,2,1N4GB22B8L,1,U,0,C,30,7,51,1,2,2,22,0,0,0,0,4,0,74,229,5,U,U,U,U,0,1,17,0,0,2,0,34,4,0,0
2.017,161.15183333,257.60338467,1,0,56D,56,D,3,1,82,37,31,3,JHMSR5338C,1,U,1,20,30,1,1,1,1,1,18,0,1,1,1,0,0,998,998,5,U,U,U,U,0,1,17,0,1,2,0,998,98,2,0
60.500,4834.5549999,6775.4839649,1,0,57H,57,H,3,1,82,20,9,3,1G1AP8771C,1,U,1,B,30,1,6,1,1,1,30,0,1,0,0,0,0,337,52,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0,0
1.322,105.65877778,144.08187223,1,0,58C,58,C,3,1,89,20,470,14,1GNCT18R0K,1,U,1,21,40,1,66,1,1,1,33,0,1,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,0
1.322,105.65877778,144.08187223,1,0,58C,58,C,3,2,86,20,9,3,1G1FP87H6G,1,U,0,C,40,8,66,1,1,1,30,0,1,0,0,0,0,220,99,5,U,U,U,U,0,1,17,0,1,1,4,33,14,1,0
8.500,679.235,904.4215585,1,0,59E,59,E,3,1,80,20,9,2,1S87HAN500,0,U,0,C,45,U,98,1,1,0,35,0,0,0,0,0,0,310,296,5,U,U,U,U,0,2,13,N,N,1,N,26,30,N,0
8.500,679.235,904.4215585,1,0,59E,59,E,3,2,86,20,477,30,1GCBS14E1G,1,U,0,C,45,7,1,1,1,1,26,0,1,1,1,0,0,998,998,5,U,U,U,U,0,1,17,0,1,8,4,998,98,1,0
