PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT,RATWGT
50,46H,46,H,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1315,1028.118,147.000,1289.6006168
50,46H,46,H,3,2,1,1,10,F,D,E,W,1,,,,,,,,,61,0,7,9,10,9,10,0,,,,,,,,,0,0,945,1028.118,147.000,1289.6006168
50,47C,47,C,3,1,1,31,0,L,D,A,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,945,49.937142391,7.140,71.251379055
50,48F,48,F,3,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1085,507.76433597,72.600,579.08983924
50,49D,49,D,3,1,1,52,12,F,L,E,E,8,2,31,0,R,D,A,O,2,74,24,12,8,4,1,0,-31,,,,,,,,,0,1,1250,85.501639328,12.225,127.50383219
50,51C,51,C,3,1,1,2,12,F,D,E,W,2,2,3,6,B,D,E,W,1,62,6,8,9,10,6,4,-5,,,,,,,,,1,1,1108,49.937142391,7.140,71.251379055
50,52F,52,F,3,1,1,71,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1315,507.76433597,72.600,579.08983924
50,53D,53,D,3,1,1,2,12,F,L,A,W,2,,,,,,,,,63,16,3,1,0,0,0,-23,,,,,,,,,0,1,1079,136.80262292,19.560,204.0061315
50,54H,54,H,3,1,6,59,U,9,9,9,9,U,2,50,U,9,9,9,9,U,,,,,,,,,,,,,,,,,1,0,1080,2741.648,392.000,3438.9349782
50,55C,55,C,3,1,1,2,12,F,Z,E,W,1,,,,,,,,,65,0,0,0,5,7,10,20,,,,,,,,,0,1,1055,57.937518889,8.284,82.66648675
50,55C,55,C,3,2,1,1,6,B,Y,E,W,3,2,31,0,L,D,A,O,3,59,24,17,11,7,2,1,-15,,,,,,,,,0,1,973,57.937518889,8.284,82.66648675
50,56G,56,G,3,1,1,2,12,F,Z,E,W,1,,,,,,,,,63,1,0,0,0,0,0,20,,,,,,,,,0,0,1080,1303.594175,186.387,1565.8348736
50,56G,56,G,3,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1108,1303.594175,186.387,1565.8348736
50,57B,57,B,3,1,1,51,12,F,Z,E,W,4,,,,,,,,,64,1,12,22,33,36,17,14,,,,,,,,,0,1,1049,52.585342727,7.519,84.929168604
50,58F,58,F,3,1,1,71,12,F,R,A,E,2,,,,,,,,,61,3,1,0,7,12,20,27,,,,,,,,,0,1,1004,723.0484625,103.381,824.61486216
50,59C,59,C,3,1,1,60,12,F,D,E,W,3,,,,,,,,,55,27,18,13,7,2,0,-8,,,,,,,,,0,1,1108,28.903870667,4.133,41.240658684
50,63A,63,A,3,1,1,50,3,R,P,E,N,6,,,,,,,,,80,0,5,42,16,8,0,-2,,,,,,,,,0,1,1005,75.224920727,10.756,104.68875573
51,1D,1,D,3,1,1,2,10,L,Y,E,W,2,,,,,,,,,61,0,0,2,4,4,5,42,,,,,,,,,0,1,945,107.3775,1.500,154.89554414
51,1D,1,D,3,2,1,1,1,F,D,E,W,1,,,,,,,,,59,3,8,7,6,3,2,3,,,,,,,,,0,1,1012,107.3775,1.500,154.89554414
51,2E,2,E,3,1,1,2,10,L,Z,E,S,2,,,,,,,,,67,1,0,0,0,3,2,-39,,,,,,,,,0,0,1014,107.3775,1.500,137.46817943
51,2E,2,E,3,2,1,1,1,F,D,E,W,2,,,,,,,,,54,0,3,7,13,12,11,-2,,,,,,,,,0,1,866,107.3775,1.500,137.46817943
51,3F,3,F,3,1,1,51,66,B,R,E,W,5,,,,,,,,,76,0,7,14,23,33,42,38,,,,,,,,,0,1,1210,107.3775,1.500,147.86491402
51,4G,4,G,3,1,1,2,2,R,F,E,W,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1108,322.1325,4.500,464.09488987
51,4G,4,G,3,2,1,1,11,F,L,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1330,322.1325,4.500,464.09488987
51,5D,5,D,3,1,1,2,1,F,D,E,W,2,2,2,3,R,Y,E,W,2,74,0,1,4,4,2,6,0,111,2,2,4,2,3,6,31,0,1,1380,143.17,2.000,206.52739218
51,5D,5,D,3,2,1,1,90,L,Y,A,W,4,2,1,9,L,B,E,W,2,70,5,23,27,21,15,13,1,,,,,,,,,0,1,965,143.17,2.000,206.52739218
51,6F,6,F,3,1,2,31,0,L,D,A,O,1,1,63,9,L,F,W,N,1,,,,,,,,,,,,,,,,,0,1,945,143.17,2.000,197.1532187
51,7F,7,F,3,1,1,2,71,F,D,E,W,2,2,2,9,L,P,E,W,1,70,16,17,17,17,16,14,0,28,0,3,2,2,2,0,-6,0,1,1203,143.17,2.000,197.1532187
51,7F,7,F,3,2,1,1,2,R,Y,E,W,2,2,1,U,9,9,9,9,U,83,0,5,6,4,6,2,53,,,,,,,,,0,0,1083,143.17,2.000,197.1532187
51,8H,8,H,3,1,1,2,5,B,R,E,E,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1043,572.68,8.000,675.52813004
51,8H,8,H,3,2,1,1,12,F,L,L,S,6,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1160,572.68,8.000,675.52813004
51,9E,9,E,3,1,1,2,1,F,D,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1003,196.85875,2.750,252.02499563
51,9E,9,E,3,2,1,1,10,L,Z,E,W,2,,,,,,,,,78,0,6,4,4,2,0,-27,,,,,,,,,0,0,1012,196.85875,2.750,252.02499563
51,10E,10,E,3,1,1,2,10,L,Y,E,W,3,2,2,9,L,B,E,W,1,36,5,9,13,13,9,5,17,30,0,1,1,2,2,1,-90,0,1,1041,196.85875,2.750,252.02499563
51,10E,10,E,3,2,1,1,1,F,Z,E,W,1,2,1,3,R,Z,E,W,1,58,4,6,7,7,7,8,-10,27,0,2,2,2,1,0,-4,0,1,991,196.85875,2.750,252.02499563
51,12G,12,G,3,1,1,2,12,F,D,E,W,1,,,,,,,,,46,0,0,2,2,0,1,-2,,,,,,,,,0,0,1130,590.57625,8.250,850.84063143
