ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
2," 39J",39,0,2,F,0,42,16.195242055,4,J,1,8
1," 40E",40,1,1,F,R,2,436.7964218,4,E,1,8
1," 41K",41,0,2,F,0,51,11.857278099,4,K,1,8
1," 42F",42,14,1,L,F,2,791.72950526,4,F,1,8
1," 43K",43,2,3,L,F,2,11.857278099,4,K,1,8
1," 44D",44,14,2,F,R,2,82.507683921,4,D,1,8
1," 45F",45,2,14,F,R,2,2970.1925495,4,F,1,8
1," 46K",46,1,20,R,F,2,32.09883754,4,K,1,8
2," 46K",46,31,20,L,F,3,32.09883754,4,K,1,8
1," 47J",47,0,3,F,0,50,42.107629342,4,J,1,8
2," 47J",47,0,3,F,0,42,42.107629342,4,J,1,8
3," 47J",47,0,3,F,0,42,42.107629342,4,J,1,8
4," 47J",47,0,3,R,0,52,42.107629342,4,J,1,8
1," 48G",48,3,1,F,B,2,2066.6042057,4,G,1,8
1," 49K",49,3,1,F,F,2,19.911037815,4,K,1,8
1," 50K",50,1,1,L,F,2,19.911037815,4,K,1,8
2," 50K",50,1,1,L,R,2,19.911037815,4,K,1,8
1," 51K",51,0,4,F,0,42,11.857278099,4,K,1,8
2," 51K",51,0,4,R,0,42,11.857278099,4,K,1,8
3," 51K",51,0,4,F,0,42,11.857278099,4,K,1,8
1," 52H",52,2,3,R,F,2,2319.7948636,4,H,1,8
1," 53K",53,2,1,F,R,2,11.857278099,4,K,1,8
1," 54E",54,1,4,R,F,2,198.25618509,4,E,1,8
1," 56K",56,1,2,F,F,2,11.857278099,4,K,1,8
2," 56K",56,0,2,L,0,56,11.857278099,4,K,1,8
3," 56K",56,0,2,L,N,31,11.857278099,4,K,1,8
1," 57G",57,3,2,F,R,2,2285.5176839,4,G,1,8
2," 57G",57,0,3,L,0,63,2285.5176839,4,G,2,8
3," 57G",57,0,3,L,0,63,2285.5176839,4,G,2,8
1," 58K",58,2,2,F,R,2,11.857278099,4,K,1,8
1," 59C",59,3,3,F,R,2,49.590550961,4,C,1,8
1," 60D",60,1,14,F,L,2,54.461268792,4,D,1,8
2," 60D",60,4,1,F,F,3,54.461268792,4,D,2,8
1," 61D",61,80,30,R,F,2,54.461268792,4,D,1,8
1," 62C",62,1,3,B,F,2,63.295324682,4,C,1,8
1," 63E",63,15,2,L,F,2,565.52017296,4,E,1,8
2," 63E",63,0,2,R,0,63,565.52017296,4,E,1,8
3," 63E",63,0,2,R,0,51,565.52017296,4,E,1,8
1," 64D",64,2,4,R,F,2,96.292955439,4,D,1,8
2," 64D",64,2,4,R,L,2,96.292955439,4,D,1,8
3," 64D",64,14,2,9,F,3,96.292955439,4,D,2,8
1," 65K",65,0,2,F,0,42,12.03661943,4,K,1,8
1," 66K",66,3,2,F,F,2,11.857278099,4,K,1,8
1," 67D",67,14,2,F,L,2,20.603206424,4,D,1,8
1," 68G",68,3,2,F,F,2,509.35198126,4,G,1,8
1," 69K",69,30,3,L,F,2,11.857278099,4,K,1,8
2," 69K",69,0,3,B,0,57,11.857278099,4,K,1,8
1," 70K",70,4,14,R,F,2,11.857278099,4,K,1,8
2," 70K",70,0,14,B,0,63,11.857278099,4,K,1,8
3," 70K",70,0,14,R,0,63,11.857278099,4,K,1,8
4," 70K",70,0,14,R,0,51,11.857278099,4,K,1,8
5," 70K",70,0,1,F,0,88,11.857278099,4,K,3,8
1," 71G",71,0,2,U,0,61,1547.7546392,4,G,2,8
2," 71G",71,0,U,9,0,79,1547.7546392,4,G,1,8
1," 72E",72,1,1,F,L,2,261.73057677,4,E,1,8
2," 72E",72,1,1,R,L,2,261.73057677,4,E,1,8
1," 73H",73,5,4,F,L,2,1162.9836334,4,H,1,8
1," 74J",74,0,2,U,0,63,16.195242055,4,J,1,8
2," 74J",74,0,2,F,0,63,16.195242055,4,J,1,8
1," 75F",75,1,5,B,F,2,225.03287352,4,F,1,8
2," 75F",75,0,1,F,0,63,225.03287352,4,F,2,8
1," 76C",76,0,2,L,0,51,42.107629342,4,C,1,8
2," 76C",76,0,2,L,0,43,42.107629342,4,C,1,8
3," 76C",76,0,2,T,N,31,42.107629342,4,C,1,8
4," 76C",76,0,2,R,0,51,42.107629342,4,C,1,8
5," 76C",76,0,2,R,0,51,42.107629342,4,C,1,8
6," 76C",76,0,2,L,0,68,42.107629342,4,C,1,8
7," 76C",76,0,2,L,0,51,42.107629342,4,C,1,8
8," 76C",76,0,2,T,0,70,42.107629342,4,C,1,8
1," 77F",77,3,3,F,B,2,156.78789676,4,F,1,8
1," 78F",78,0,2,F,0,52,156.78789676,4,F,1,8
1," 79H",79,5,21,R,F,2,490.02023062,4,H,1,8
1," 80K",80,5,2,F,R,2,11.857278099,4,K,1,8
1," 81F",81,60,2,B,F,2,312.69804462,4,F,1,8
1," 82F",82,0,14,R,0,63,312.69804462,4,F,1,8
2," 82F",82,0,14,R,0,63,312.69804462,4,F,1,8
3," 82F",82,0,14,R,0,63,312.69804462,4,F,1,8
4," 82F",82,0,14,F,0,63,312.69804462,4,F,1,8
5," 82F",82,0,14,F,0,63,312.69804462,4,F,1,8
6," 82F",82,0,14,F,0,56,312.69804462,4,F,1,8
1," 83H",83,30,16,L,F,2,977.29717093,4,H,1,8
1," 84K",84,31,20,R,F,2,11.857278099,4,K,1,8
2," 84K",84,31,20,R,L,2,11.857278099,4,K,1,8
3," 84K",84,0,20,F,0,43,11.857278099,4,K,1,8
4," 84K",84,0,31,B,0,42,11.857278099,4,K,2,8
1," 85E",85,1,20,F,R,2,218.5782801,4,E,1,8
1," 86F",86,1,1,F,R,2,310.75968248,4,F,1,8
2," 86F",86,0,1,L,0,63,310.75968248,4,F,2,8
3," 86F",86,0,1,L,N,31,310.75968248,4,F,2,8
1," 87G",87,20,1,F,9,2,664.2056146,4,G,1,8
1," 88E",88,14,4,L,F,2,143.84956365,4,E,1,8
1," 89E",89,14,3,R,F,2,109.14765711,4,E,1,8
2," 89E",89,0,1,L,0,79,109.14765711,4,E,3,8
1," 90F",90,0,2,F,0,52,155.17869045,4,F,1,8
