PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2
3,59,84.238965032," 59E",E,7,2,1,2,9,71,0,0
3,59,84.238965032," 59E",E,7,3,1,2,9,71,0,0
3,60,114.66340669," 60F",F,7,1,1,5,F,71,0,0
3,61,43.07779641," 61D",D,7,1,1,13,L,2,3,F
3,61,43.07779641," 61D",D,7,2,2,3,F,52,0,0
3,62,190.0194047," 62F",F,7,1,1,13,R,2,4,F
3,63,24.372162043," 63K",K,7,1,1,1,F,56,0,0
3,64,108.88114876," 64F",F,7,1,1,5,R,2,11,F
3,64,108.88114876," 64F",F,7,2,2,11,F,52,0,0
3,65,20.589626695," 65J",J,7,1,1,5,R,2,2,F
3,66,38.465373444," 66C",C,7,1,1,3,F,2,3,L
3,66,38.465373444," 66C",C,7,2,1,3,R,2,3,L
3,66,38.465373444," 66C",C,7,3,1,3,F,51,0,0
3,67,86.771197985," 67F",F,7,1,1,3,L,2,3,F
3,68,519.72047913," 68H",H,7,1,1,1,L,2,5,F
3,69,42.918101815," 69C",C,7,1,1,2,F,2,2,R
3,70,316.29958782," 70F",F,7,1,1,2,B,2,1,F
3,70,316.29958782," 70F",F,7,2,1,2,F,3,5,B
3,71,88.402474111," 71F",F,7,1,1,2,L,71,0,0
3,71,88.402474111," 71F",F,7,2,1,2,F,71,0,0
3,72,88.402474111," 72F",F,7,1,1,5,R,2,24,L
3,73,33.838405674," 73C",C,7,1,1,1,L,2,5,F
3,73,33.838405674," 73C",C,7,2,1,1,F,63,0,0
3,73,33.838405674," 73C",C,7,3,1,1,F,45,0,0
3,73,33.838405674," 73C",C,7,4,1,1,T,45,0,0
3,73,33.838405674," 73C",C,7,5,1,1,L,71,0,0
3,74,56.535799638," 74D",D,7,1,1,1,F,2,1,B
3,75,41.236344167," 75D",D,7,1,1,2,F,51,0,0
3,76,181.89662015," 76F",F,7,1,1,4,R,2,9,F
3,76,181.89662015," 76F",F,7,2,1,4,F,57,0,0
3,77,66.394834836," 77C",C,7,1,1,13,F,71,0,0
3,78,13.866215786," 78K",K,7,1,1,1,F,62,0,0
3,79,130.09499701," 79E",E,7,1,1,3,F,2,2,F
3,79,130.09499701," 79E",E,7,2,2,2,L,71,0,0
3,80,1060.6366999," 80H",H,7,1,1,4,F,71,0,0
3,80,1060.6366999," 80H",H,7,2,1,4,F,71,0,0
3,81,36.983063388," 81D",D,7,1,1,3,F,56,0,0
3,81,36.983063388," 81D",D,7,2,1,3,R,31,0,N
3,82,163.13507827," 82F",F,7,1,1,5,B,2,22,F
3,83,22.489038752," 83C",C,7,1,1,2,F,56,0,0
3,83,22.489038752," 83C",C,7,2,1,2,R,56,0,0
3,84,143.48510683," 84F",F,7,1,1,2,B,2,9,F
3,85,40.121180295," 85F",F,7,1,1,3,R,2,5,F
3,85,40.121180295," 85F",F,7,2,1,3,L,71,0,0
3,85,40.121180295," 85F",F,7,3,1,3,L,71,0,0
3,86,240.30783866," 86H",H,7,1,1,5,B,2,2,F
3,87,15.015487038," 87A",A,7,1,1,1,R,2,2,F
3,87,15.015487038," 87A",A,7,2,1,1,L,72,0,0
3,87,15.015487038," 87A",A,7,3,1,1,L,62,0,0
3,87,15.015487038," 87A",A,7,4,2,2,F,51,0,0
3,87,15.015487038," 87A",A,7,5,1,1,B,68,0,0
3,88,491.57907614," 88E",E,7,1,1,1,R,2,19,L
3,88,491.57907614," 88E",E,7,2,1,1,L,64,0,0
3,89,28.331792119," 89D",D,7,1,1,5,F,71,0,0
3,89,28.331792119," 89D",D,7,2,1,5,F,52,0,0
3,90,124.97366906," 90F",F,7,1,1,11,R,2,2,F
3,91,17.178282641," 91C",C,7,1,1,9,F,2,13,R
3,91,17.178282641," 91C",C,7,2,1,9,F,51,0,0
3,92,391.90932471," 92G",G,7,1,1,9,F,2,9,F
3,93,80.503663401," 93F",F,7,1,1,9,F,2,19,F
3,94,249.20880132," 94G",G,7,1,1,9,L,2,9,F
3,95,51.144426053," 95F",F,7,1,1,1,R,2,19,F
3,96,306.33212667," 96H",H,7,1,1,5,F,52,0,0
3,97,70.029153547," 97F",F,7,1,1,9,L,2,19,F
3,97,70.029153547," 97F",F,7,2,1,9,L,2,19,L
3,97,70.029153547," 97F",F,7,3,2,19,F,71,0,0
3,98,419.44315717," 98H",H,7,1,1,13,F,2,14,R
3,98,419.44315717," 98H",H,7,2,1,13,F,56,0,0
3,98,419.44315717," 98H",H,7,3,2,14,F,56,0,0
3,98,419.44315717," 98H",H,7,4,2,14,B,3,19,F
