PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,AINJSER,AINJURED,ALCINV,DAYWEEK,DRGINV,MANCOLL,PSUSTRAT,ADMINSS,PEDSTUDY,FIRESTDY
3,42,285.55544557," 42F",F,7,2,5,94,1720,1,4,1,0,2,2,4,2,4,1,0,0,0
3,43,49.613149604," 43E",E,7,2,6,94,2000,2,0,0,0,0,2,4,2,4,1,0,0,0
3,44,67.531845247," 44F",F,7,2,6,94,235,2,4,7,0,1,2,7,2,4,1,0,0,0
3,45,37.643142777," 45D",D,7,2,6,94,1700,1,3,1,0,5,2,1,2,4,1,0,0,0
3,46,37.643142777," 46D",D,7,2,6,94,1457,2,4,1,0,1,2,1,2,4,1,0,0,0
3,47,36.375480424," 47E",E,7,3,6,94,1445,2,4,1,0,1,2,1,2,1,1,0,0,0
3,48,296.56151582," 48H",H,7,2,6,94,1600,1,0,1,0,1,2,3,2,1,1,0,0,0
3,49,74.212671574," 49E",E,7,3,6,94,1745,5,4,7,0,4,2,4,2,0,1,0,0,0
3,50,101.01593412," 50F",F,7,2,6,94,750,2,4,1,0,1,2,7,2,4,1,0,0,0
3,51,26.831347969," 51C",C,7,2,7,94,617,1,3,2,0,4,2,1,2,4,1,0,0,0
3,52,145.2743007," 52E",E,7,2,7,94,2055,1,4,1,0,2,2,2,2,4,1,0,0,0
3,53,29.161968889," 53D",D,7,2,7,94,55,4,3,1,0,3,2,6,2,4,1,0,0,0
3,54,128.63564132," 54F",F,7,1,7,94,1410,2,4,1,0,1,2,6,2,0,1,0,0,0
3,55,19.014380963," 55C",C,7,2,7,94,1645,2,3,1,0,6,2,5,2,4,1,0,0,0
3,56,140.13296504," 56F",F,7,2,7,94,917,1,4,1,0,1,2,3,2,5,1,0,0,0
3,57,23.793323194," 57D",D,7,2,7,94,558,1,4,1,0,2,2,6,2,4,1,0,0,0
3,58,104.95414079," 58F",F,7,2,7,94,15,6,3,3,1,2,2,5,2,4,1,0,0,0
3,59,84.238965032," 59E",E,7,1,8,94,12,3,0,0,0,0,2,5,2,0,1,0,0,0
3,60,114.66340669," 60F",F,7,1,7,94,2315,1,U,7,0,1,2,5,2,0,1,0,0,0
3,61,43.07779641," 61D",D,7,2,8,94,1700,2,8,1,0,2,2,2,2,4,1,0,0,0
3,62,190.0194047," 62F",F,7,2,8,94,1300,1,4,1,0,1,2,5,2,4,1,0,0,0
3,63,24.372162043," 63K",K,7,1,8,94,45,1,3,1,0,1,1,1,2,0,1,0,0,0
3,64,108.88114876," 64F",F,7,2,8,94,100,2,4,0,0,0,2,5,2,4,1,0,0,0
3,65,20.589626695," 65J",J,7,2,8,94,1900,1,3,2,0,2,2,3,2,4,1,0,0,0
3,66,38.465373444," 66C",C,7,2,8,94,1033,3,4,2,0,3,2,5,2,4,1,0,0,0
3,67,86.771197985," 67F",F,7,2,8,94,1025,1,4,1,0,1,2,3,2,4,1,0,0,0
3,68,519.72047913," 68H",H,7,2,8,94,2210,1,0,0,0,0,2,6,2,4,1,0,0,0
3,69,42.918101815," 69C",C,7,2,9,94,52,1,3,2,0,2,2,2,2,4,1,0,0,0
3,70,316.29958782," 70F",F,7,3,9,94,45,2,4,1,0,1,2,7,2,1,1,0,0,0
3,71,88.402474111," 71F",F,7,1,9,94,1605,2,4,1,0,3,2,2,2,0,1,0,0,0
3,72,88.402474111," 72F",F,7,2,9,94,150,1,4,1,0,1,2,6,2,5,1,0,0,0
3,73,33.838405674," 73C",C,7,2,9,94,1250,5,1,5,1,4,2,4,U,4,1,0,0,0
3,74,56.535799638," 74D",D,7,2,9,94,2350,1,4,7,0,2,2,7,2,1,1,0,0,0
3,75,41.236344167," 75D",D,7,1,9,94,2013,1,3,1,0,2,2,7,2,0,1,0,0,0
3,76,181.89662015," 76F",F,7,2,9,94,100,2,3,2,0,2,2,7,2,4,1,0,0,0
3,77,66.394834836," 77C",C,7,1,9,94,2115,1,4,0,0,0,2,5,2,0,1,0,0,0
3,78,13.866215786," 78K",K,7,1,10,94,835,1,4,1,0,1,2,7,2,0,1,0,0,0
3,79,130.09499701," 79E",E,7,2,10,94,1140,2,U,7,0,1,2,2,2,4,1,0,0,0
3,80,1060.6366999," 80H",H,7,1,10,94,655,2,0,0,0,0,2,1,2,0,1,0,0,0
3,81,36.983063388," 81D",D,7,1,10,94,2210,2,3,1,0,2,2,3,2,0,1,0,0,0
3,82,163.13507827," 82F",F,7,2,10,94,1400,1,4,1,0,1,2,6,2,1,1,0,0,0
3,83,22.489038752," 83C",C,7,1,10,94,330,2,4,1,0,1,2,3,2,0,1,0,0,0
3,84,143.48510683," 84F",F,7,2,10,94,1645,1,4,2,0,1,2,1,2,1,1,0,0,0
3,85,40.121180295," 85F",F,7,2,11,94,1340,3,4,2,0,3,2,4,2,4,1,0,0,0
3,86,240.30783866," 86H",H,7,2,10,94,1810,1,0,0,0,0,2,6,2,1,1,0,0,0
3,87,15.015487038," 87A",A,7,2,11,94,2340,5,1,5,2,3,2,4,2,4,1,0,0,0
3,88,491.57907614," 88E",E,7,2,10,94,1700,2,4,0,0,0,2,1,2,5,1,0,0,0
3,89,28.331792119," 89D",D,7,1,11,94,1940,2,3,3,1,1,U,7,2,0,1,0,0,0
3,90,124.97366906," 90F",F,7,2,11,94,1200,1,U,7,0,2,2,5,2,4,1,0,0,0
3,91,17.178282641," 91C",C,7,2,11,94,105,2,4,2,0,3,U,1,2,4,1,0,0,0
3,92,391.90932471," 92G",G,7,2,11,94,1440,1,U,7,0,2,2,6,2,4,1,0,0,0
3,93,80.503663401," 93F",F,7,2,11,94,900,1,4,2,0,3,2,7,2,4,1,0,0,0
3,94,249.20880132," 94G",G,7,2,11,94,705,1,0,0,0,0,2,2,2,4,1,0,0,0
3,95,51.144426053," 95F",F,7,2,12,94,1230,1,4,1,0,1,U,4,2,4,1,0,0,0
3,96,306.33212667," 96H",H,7,1,12,94,2023,1,0,0,0,0,2,2,2,0,1,0,0,0
3,97,70.029153547," 97F",F,7,2,12,94,2333,3,4,1,0,1,2,1,2,4,1,0,0,0
3,98,419.44315717," 98H",H,7,3,12,94,1310,4,0,0,0,0,2,3,2,4,1,0,0,0
3,99,26.931239057," 99D",D,7,1,12,94,114,1,U,7,0,1,2,1,2,0,1,0,0,0
3,100,367.74649416,100G,G,7,2,12,94,1500,1,0,0,0,0,2,7,2,4,1,0,0,0
3,101,521.99109585,101G,G,7,3,12,94,1740,2,0,0,0,0,2,3,2,1,1,0,0,0
3,102,53.971666966,102C,C,7,2,12,94,20,1,U,7,0,2,2,7,2,1,1,0,0,0
4,1,1056.6321839,"  1F",F,7,3,1,94,1917,2,4,1,0,1,2,4,2,4,3,0,0,0
4,2,73.307515029,"  2K",K,7,2,1,94,728,1,3,3,1,2,2,4,2,2,3,0,0,0
4,3,146.37676668,"  3F",F,7,2,1,94,730,1,4,0,0,0,2,2,2,1,3,0,0,0
4,4,568.98541823,"  4H",H,7,3,1,94,1144,3,0,1,0,1,2,2,2,0,3,0,0,0
