PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,RATWGT
2,171C,171,C,6,1,1,14,R,2,15,F,55.866313928
2,172D,172,D,6,1,1,5,F,56,0,0,69.379825001
2,172D,172,D,6,2,1,5,F,61,0,0,69.379825001
2,173E,173,E,6,1,1,9,R,2,22,F,280.45192325
2,173E,173,E,6,2,2,22,B,3,3,R,280.45192325
2,175F,175,F,6,1,1,1,F,2,9,F,150.36795186
2,176G,176,G,6,1,1,9,F,56,0,0,189.34539871
2,177H,177,H,6,1,1,15,F,42,0,0,368.57537228
2,178F,178,F,6,1,1,1,9,58,0,0,146.66529812
2,178F,178,F,6,2,1,1,T,31,0,N,146.66529812
2,179G,179,G,6,1,1,9,9,88,0,0,184.68296605
2,179G,179,G,6,2,1,9,9,44,0,0,184.68296605
3,"  1E",1,E,6,1,1,2,B,56,0,0,42.79365851
3,"  2C",2,C,6,1,1,1,U,54,0,0,48.422750839
3,"  2C",2,C,6,2,1,1,T,31,0,N,48.422750839
3,"  3D",3,D,6,1,1,4,B,2,3,F,77.313392194
3,"  4D",4,D,6,1,1,5,F,2,5,L,31.465920752
3,"  4D",4,D,6,2,1,5,F,71,0,0,31.465920752
3,"  4D",4,D,6,3,2,5,F,71,0,0,31.465920752
3,"  5D",5,D,6,1,2,3,B,3,24,F,31.465920752
3,"  5D",5,D,6,2,1,23,B,2,3,F,31.465920752
3,"  6E",6,E,6,1,1,4,R,3,5,F,182.17300422
3,"  6E",6,E,6,2,1,4,F,2,2,L,182.17300422
3,"  7F",7,F,6,1,1,3,F,2,9,R,116.61863853
3,"  8E",8,E,6,1,1,2,B,2,3,F,212.79346665
3,"  8E",8,E,6,2,2,3,B,3,1,R,212.79346665
3,"  8E",8,E,6,3,1,2,L,2,3,R,212.79346665
3,"  8E",8,E,6,4,3,1,L,4,3,F,212.79346665
3,"  8E",8,E,6,5,3,1,B,4,3,R,212.79346665
3,"  8E",8,E,6,6,4,3,L,5,2,F,212.79346665
3,"  8E",8,E,6,7,5,2,F,6,2,F,212.79346665
3,"  8E",8,E,6,8,4,3,L,5,2,B,212.79346665
3,"  9G",9,G,6,1,1,14,F,71,0,0,190.10379429
3," 10E",10,E,6,1,1,4,L,2,14,F,299.69725525
3," 11H",11,H,6,1,1,1,R,2,2,F,516.54700851
3," 11H",11,H,6,2,1,1,F,71,0,0,516.54700851
3," 12D",12,D,6,1,1,2,U,63,0,0,21.41159342
3," 12D",12,D,6,2,1,2,F,52,0,0,21.41159342
3," 13F",13,F,6,1,2,1,B,3,13,F,227.37007516
3," 13F",13,F,6,2,1,5,B,2,1,F,227.37007516
3," 14K",14,K,6,1,1,2,F,52,0,0,5.0228942058
3," 15F",15,F,6,1,1,2,F,71,0,0,376.8343767
3," 16D",16,D,6,1,1,2,U,63,0,0,20.571765509
3," 16D",16,D,6,2,1,2,F,56,0,0,20.571765509
3," 17E",17,E,6,1,1,4,F,71,0,0,341.24943107
3," 18C",18,C,6,1,1,2,R,2,14,F,24.875082785
3," 18C",18,C,6,2,1,2,F,57,0,0,24.875082785
3," 19D",19,D,6,1,1,13,F,56,0,0,29.122740605
