PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,HPMS,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
51,241V,241,V,4,5,1,1,1,24,170,100,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,1,0,0,0,2,1,3,3,1,,0,6,3,1,2,1,0,0,30,0,0,0,0,0,0,11.44,171.27,151.31
51,241V,241,V,4,5,2,1,1,U,U,U,0,0,0,U,U,2,23,22,U,U,0,0,0,0,1,0,0,0,0,0,C,1,1,2,4,1,0,3,2,0,2,1,2,0,0,3,0,,6,6,1,1,2,1,20,3,30,0,0,0,0,0,0,11.44,171.27,151.31
51,242W,242,W,4,5,1,2,1,61,300,125,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,4,1,4,3,1,,0,2,1,1,2,1,1,3,35,0,0,0,0,0,0,22.88,342.54,297.48
51,242W,242,W,4,5,2,1,1,47,5,U,0,0,0,2,1,31,22,21,0,0,0,0,0,0,1,0,0,0,0,0,C,2,0,2,4,0,0,0,1,0,0,0,4,1,4,3,1,,0,2,1,1,2,1,1,3,35,0,0,0,0,0,0,22.88,342.54,297.48
51,243G,243,G,4,5,1,1,1,36,50,50,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,4,0,3,0,3,3,5,3,1,,5,0,1,1,2,1,0,0,35,0,0,0,0,0,0,11.06,165.58,174.15
51,244T,244,T,4,5,1,2,1,10,U,U,0,0,0,0,U,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,1,0,1,0,5,0,0,3,0,,0,0,1,1,2,1,1,3,35,0,0,0,0,0,0,9.48,141.93,140.47
51,244T,244,T,4,5,2,1,1,61,234,286,0,0,0,0,1,31,21,16,10,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,2,3,0,0,3,0,,0,0,1,1,2,1,1,3,30,0,0,0,0,0,0,9.48,141.93,140.47
51,245V,245,V,4,5,1,1,1,61,2,50,0,0,0,0,4,22,21,16,1,0,0,0,0,0,0,0,1,0,0,0,C,1,0,3,1,0,0,0,0,0,0,2,2,0,0,3,0,,6,6,1,1,2,1,20,3,30,0,0,0,0,0,0,16.58,248.22,219.29
51,245V,245,V,4,5,2,2,1,U,U,U,0,0,0,U,U,2,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,0,1,3,0,0,2,2,0,0,3,0,,6,6,1,1,2,1,0,0,30,0,0,0,0,0,0,16.58,248.22,219.29
51,246Z,246,Z,4,5,1,2,1,36,120,100,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,3,1,0,0,1,4,1,3,3,1,,0,0,1,1,2,1,4,3,45,0,0,0,0,0,0,375.00,5614.13,5006.73
51,246Z,246,Z,4,5,2,1,1,61,270,120,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C,1,0,2,4,0,0,1,0,0,0,1,3,0,0,3,0,,6,6,1,1,2,1,4,3,30,29,0,0,0,0,0,375.00,5614.13,5006.73
51,247M,247,M,4,5,1,2,1,61,450,U,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,1,0,3,1,0,0,1,0,0,0,1,5,0,0,3,0,,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,8.76,131.15,114.37
51,247M,247,M,4,5,2,U,1,U,U,U,0,0,0,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,U,C,U,U,U,U,U,U,U,U,U,U,U,2,0,0,3,0,,2,2,1,1,2,1,20,3,30,29,0,0,0,0,0,8.76,131.15,114.37
51,248M,248,M,4,5,1,2,1,U,U,U,0,0,0,U,U,23,38,21,U,U,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,0,0,0,0,0,0,3,1,7,3,1,,0,0,1,1,2,1,0,0,40,9,0,0,0,0,0,8.76,131.15,114.37
51,248M,248,M,4,5,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,3,1,,0,0,1,1,2,1,0,0,40,,,,,,,8.76,131.15,114.37
51,249W,249,W,4,5,1,1,1,12,10,80,0,0,0,2,1,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,0,0,0,0,1,2,0,0,3,0,,6,6,1,1,2,1,0,0,30,98,0,0,0,0,0,30.67,459.16,398.76
51,249W,249,W,4,5,2,1,1,61,440,110,0,0,0,2,1,32,16,2,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,0,0,0,0,0,1,2,0,0,3,0,,6,6,1,1,2,1,0,0,30,0,0,0,0,0,0,30.67,459.16,398.76
51,250B,250,B,4,5,1,1,1,U,U,U,0,0,0,U,U,4,2,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,3,5,0,0,1,1,0,0,1,3,1,10,3,1,,0,0,1,1,2,1,0,0,45,0,0,0,0,0,0,8.21,122.91,114.91
51,251M,251,M,4,5,1,1,1,61,5,350,0,0,0,2,1,2,38,16,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,1,0,0,0,1,2,0,0,3,0,,6,6,1,1,2,1,0,0,30,0,0,0,0,0,0,9.38,140.43,122.46
51,251M,251,M,4,5,2,2,1,61,300,200,3,2,1,0,1,54,88,0,0,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,0,0,0,0,2,2,0,0,3,0,,6,6,1,3,8,1,0,0,0,0,0,0,0,0,0,9.38,140.43,122.46
51,252T,252,T,4,5,1,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,U,U,2,0,0,3,0,,6,6,1,1,2,1,20,3,30,29,0,0,0,0,0,9.38,140.43,138.98
