H01,H02,H02A,H02B,H03,H05,H07,H08,H09,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V32
77,287M,287,M,3,3,2,31.27,1230.72,1,1,2,69,1,20,2,0,0,0,1,U,9,9,9,9,99,,,,,,,,124379N704,1,0,U,U,U,U,0,1,1,0,0,0,31,U,U,0,U,U,U,U,0,0,0,0
77,288H,288,H,3,3,1,9.53,375.26,2,1,2,72,6,19,2,0,0,0,2,12,F,R,A,A,09,,,,,,,,3J57M2R137,1,0,72,8,8,3,0,1,3,0,0,0,35,0,2,1,96,96,96,U,0,2,2,0
77,288H,288,H,3,3,2,9.53,375.26,1,3,2,70,2,0,53,2,3,0,34,12,F,R,E,W,01,1,6,B,L,L,R,0A,F60CVJ8007,1,0,198,1,1,0,0,1,6,0,0,0,U,100,2,1,96,96,96,U,0,0,1,0
77,289L,289,L,3,3,1,9.53,375.26,2,1,2,72,1,31,4,0,0,0,2,1,F,D,E,W,01,,,,,,,,1V77B2U110,1,0,98,3,1,0,0,1,1,0,0,0,22,0,0,2,22,-19,-11,204,0,0,2,0
77,289L,289,L,3,3,2,9.53,375.26,1,1,2,69,2,3,2,0,0,0,1,11,F,Y,E,W,02,,,,,,,,9F01F19417,1,0,152,1,1,0,0,1,1,0,0,0,31,0,0,2,17,-14,8,311,0,0,1,0
77,290M,290,M,3,3,1,47.67,1876.28,1,1,2,74,2,33,2,0,0,0,34,6,B,C,E,N,02,37,6,L,Z,A,S,01,4K93F12626,1,0,93,1,5,2,0,4,6,0,0,0,30,U,U,4,8,8,0,42,0,0,0,1
77,291J,291,J,3,3,1,175.50,6908.21,1,1,1,75,2,0,50,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,291J,291,J,3,3,2,175.50,6908.21,1,2,1,75,1,34,4,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,292M,292,M,3,3,1,70.20,2763.28,4,1,2,71,2,15,2,0,0,0,2,2,R,Z,E,W,01,,,,,,,,1 58S19230,1,0,108,1,1,0,0,3,3,0,0,0,41,U,U,2,19,-10,-17,108,0,0,1,0
77,292M,292,M,3,3,2,70.20,2763.28,4,2,2,79,1,36,3,0,0,0,1,5,B,Y,E,W,02,,,,,,,,1T19M9D519,2,0,17,1,1,0,0,4,2,0,0,0,31,0,0,2,24,21,-12,886,0,0,0,0
77,293I,293,I,3,3,1,26.63,1048.04,2,1,2,69,1,11,6,0,0,0,2,U,9,9,9,9,99,,,,,,,,164369R035,1,0,U,U,U,U,0,1,2,0,0,0,44,0,0,0,U,U,U,U,0,0,2,0
77,293I,293,I,3,3,2,26.63,1048.04,1,2,1,78,1,0,51,0,0,0,1,U,9,9,9,9,99,,,,,,,,CGL2584135,1,0,U,U,U,U,0,3,1,0,0,0,U,U,U,0,U,U,U,U,0,0,0,0
77,295M,295,M,3,3,1,42.60,1676.86,1,1,1,80,20,7,3,0,0,0,2,11,F,D,E,W,01,,,,,,,,43A0170533,1,0,3,1,1,0,0,1,2,0,0,0,27,0,0,2,18,-16,9,78,0,0,0,0
77,295M,295,M,3,3,2,42.60,1676.86,1,2,2,78,2,55,3,0,0,0,1,2,R,Y,E,W,03,,,,,,,,8K92T12102,1,0,40,3,3,3,0,3,1,0,0,0,28,0,0,2,18,-9,-15,367,0,0,0,0
77,296I,296,I,3,3,1,23.46,923.41,2,1,2,77,1,6,2,0,0,0,2,2,F,Z,E,W,01,2,3,R,F,E,W,04,1H57U7R455,1,0,31,1,1,0,0,1,2,0,0,0,40,0,0,1,96,96,96,U,0,0,1,0
77,296I,296,I,3,3,2,23.46,923.41,1,3,2,70,2,0,51,0,0,0,1,8,L,Y,E,W,03,32,12,F,C,A,N,06,E33GHH3216,1,0,84,1,4,3,0,2,1,0,0,0,47,0,0,1,96,96,96,U,0,0,0,0
77,297M,297,M,3,3,1,37.53,1477.45,1,1,2,73,1,7,2,0,0,0,2,U,9,9,9,9,99,,,,,,,,1L57H3C127,1,0,121,1,1,0,0,1,2,0,0,0,43,0,0,0,U,U,U,U,0,0,1,0
77,297M,297,M,3,3,2,37.53,1477.45,1,2,1,80,1,97,5,0,0,0,1,U,9,9,9,9,99,,,,,,,,1W80JAR412,1,0,6,U,U,U,0,3,1,0,0,0,32,0,0,0,U,U,U,U,0,0,0,0
77,298N,298,N,3,3,1,187.67,7387.25,1,1,1,U,U,0,U,U,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,299H,299,H,3,3,1,18.00,708.53,2,1,2,78,1,0,50,0,0,0,33,12,F,R,A,E,07,33,12,L,F,L,S,01,CCL148A132,1,0,41,2,2,3,0,1,6,0,0,0,38,0,0,4,25,-25,-4,460,0,1,2,0
77,300L,300,L,3,3,1,18.00,708.53,1,1,1,80,2,6,2,0,0,0,2,U,9,9,9,9,99,,,,,,,,0R04A15414,1,0,11,1,1,0,0,1,2,0,0,0,26,0,0,0,U,U,U,U,0,0,0,0
77,300L,300,L,3,3,2,18.00,708.53,1,2,2,78,1,33,2,0,0,0,38,9,L,B,W,N,03,46,0,T,Y,D,O,02,1M27C8U146,1,0,22,1,3,2,0,2,6,1,0,0,28,0,0,3,96,96,96,U,0,0,1,1
77,301I,301,I,3,3,1,22.71,893.88,2,1,2,80,17,4,4,0,0,0,2,U,9,9,9,9,99,2,U,9,9,9,9,99,SA22C61520,1,0,15,1,1,0,0,3,3,0,0,0,24,0,0,0,U,U,U,U,0,0,0,0
77,301I,301,I,3,3,2,22.71,893.88,1,2,1,63,2,0,50,0,0,0,1,U,9,9,9,9,99,1,U,9,9,9,9,99,F10CD38127,1,0,U,U,U,U,0,4,2,0,0,0,U,U,U,0,U,U,U,U,0,0,0,0
77,302M,302,M,3,3,1,36.33,1430.22,1,1,1,75,1,7,3,0,0,0,2,9,F,Y,E,W,01,,,,,,,,1L69H5S156,1,0,23,1,1,0,0,1,2,0,0,0,43,0,1,2,26,-6,26,1624,0,0,1,0
77,302M,302,M,3,3,2,36.33,1430.22,1,2,2,69,4,34,2,0,0,0,1,12,R,D,E,W,03,,,,,,,,435379H317,1,0,80,3,3,3,0,3,1,0,0,0,35,0,0,2,32,-31,-4,1181,0,0,0,0
77,303N,303,N,3,3,1,181.67,7151.08,1,1,1,76,1,6,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,303N,303,N,3,3,2,181.67,7151.08,1,2,1,68,2,38,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
