PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTANK,PSUSTRAT
2,124,38.073608798,124C,C,5,1,1,2,69,L,F,E,E,4,,,,,,,,,53,0,3,5,9,14,20,85,,,,,,,,,0,1,1160,0,0,0,1,3
2,124,38.073608798,124C,C,5,2,2,62,12,F,Y,E,N,2,1,1,12,F,R,E,S,9,58,7,17,13,8,3,0,-10,,,,,,,,,0,1,1043,0,0,0,1,3
2,125,202.79362092,125E,E,5,1,2,31,0,T,D,D,O,2,1,44,12,F,L,E,E,2,,,,,,,,,,,,,,,,,0,1,1030,0,0,0,1,3
2,126,440.18949818,126G,G,5,2,1,1,3,R,Z,E,W,2,,,,,,,,,85,1,5,5,3,0,0,-67,,,,,,,,,0,1,1060,0,0,0,1,3
2,127,77.726022494,127K,K,5,1,2,42,12,F,R,E,E,4,1,50,U,9,9,9,9,U,58,0,0,0,0,1,7,24,,,,,,,,,0,1,1093,0,0,0,1,3
2,128,213.25441427,128E,E,5,1,3,41,12,F,Y,E,W,1,1,60,0,U,D,D,W,1,56,1,0,0,0,1,4,0,,,,,,,,,0,0,906,0,0,0,1,3
2,129,462.89598843,129G,G,5,2,1,1,2,F,Z,E,W,1,,,,,,,,,61,4,5,6,7,7,0,9,,,,,,,,,0,1,988,0,0,0,1,3
2,132,133.89337552,132E,E,5,2,1,1,12,F,R,E,E,1,,,,,,,,,65,0,0,0,0,1,4,25,,,,,,,,,0,1,1108,0,0,0,1,3
2,134,590.15139029,134H,H,5,1,1,76,12,F,Y,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1043,0,0,0,1,3
2,135,102.53489221,135E,E,5,1,1,2,12,F,Z,E,W,4,2,60,10,L,B,L,W,1,62,2,7,14,23,27,31,12,,,,,,,,,0,1,1071,0,0,0,1,3
2,135,102.53489221,135E,E,5,2,1,1,12,F,Z,E,W,4,,,,,,,,,56,2,11,25,36,34,36,16,,,,,,,,,0,1,957,0,0,0,1,3
2,136,123.60154669,136F,F,5,1,4,42,10,L,F,E,W,2,2,42,10,L,B,E,W,2,60,0,3,8,5,5,2,58,54,1,5,3,2,0,0,-57,1,1,953,0,0,0,1,3
2,137,123.60154669,137F,F,5,1,2,44,32,F,D,L,W,2,1,57,12,F,D,A,W,1,66,5,6,8,9,11,13,0,,,,,,,,,0,1,1081,0,0,0,1,3
2,138,123.60154669,138F,F,5,1,1,2,12,F,D,E,W,1,,,,,,,,,60,0,0,0,0,0,0,-15,,,,,,,,,0,0,1084,0,0,0,1,3
2,138,123.60154669,138F,F,5,2,1,1,6,B,D,E,W,1,,,,,,,,,60,0,1,2,3,3,3,15,,,,,,,,,0,0,999,0,0,0,1,3
2,140,67.102016504,140E,E,5,1,2,31,0,T,D,D,O,4,1,50,12,F,L,E,N,1,,,,,,,,,,,,,,,,,0,1,1005,0,0,0,1,3
2,141,101.38169088,141G,G,5,1,1,71,12,F,R,E,E,1,,,,,,,,,58,0,0,0,0,3,6,25,,,,,,,,,0,1,1034,0,0,0,1,3
2,142,205.86308983,142H,H,5,1,1,56,U,9,9,9,9,U,2,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,937,0,0,0,1,3
2,143,71.747097687,143K,K,5,1,1,42,12,F,C,E,N,5,,,,,,,,,56,43,41,39,24,12,3,-13,,,,,,,,,0,1,999,0,0,0,1,3
2,144,38.073608798,144C,C,5,1,3,31,0,T,D,D,O,2,1,56,1,R,D,E,S,1,,,,,,,,,,,,,,,,,0,1,1080,0,0,0,1,3
2,145,221.64451452,145F,F,5,1,2,54,11,F,L,E,E,1,1,56,4,R,B,M,N,1,60,8,3,1,0,0,4,-26,,,,,,,,,0,1,1034,0,0,0,1,3
2,147,48.264625259,147B,B,5,1,2,31,0,T,D,D,O,2,1,44,1,F,R,E,W,1,,,,,,,,,58,1,1,1,1,2,8,20,0,1,973,0,0,0,1,3
2,149,99.339260916,149F,F,5,1,5,42,12,F,Z,E,W,5,2,41,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1128,0,0,0,1,3
