PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GAD1,OBJCONT,CLASS2,GAD2,NATWGT,PSUWGT
2,85C,85,C,1,3,1,15,R,44,0,0,57.3768,2.34
2,85C,85,C,1,4,1,15,F,44,0,0,57.3768,2.34
2,86F,86,F,1,1,1,5,F,2,1,F,328.568,13.4
2,87G,87,G,1,1,1,9,F,2,1,R,931.76,38
2,88D,88,D,1,1,1,3,F,57,0,0,88.7624,3.62
2,88D,88,D,1,2,1,3,F,52,0,0,88.7624,3.62
2,89E,89,E,1,1,1,12,F,2,9,R,237.844,9.7
2,89E,89,E,1,2,2,9,L,51,0,0,237.844,9.7
2,90C,90,C,1,1,1,2,R,56,0,0,57.3768,2.34
2,90C,90,C,1,2,1,2,N,31,0,N,57.3768,2.34
2,91C,91,C,1,1,1,15,F,2,1,F,57.3768,2.34
2,92F,92,F,1,1,1,1,F,56,0,0,328.568,13.4
2,93D,93,D,1,1,1,1,F,50,0,0,88.7624,3.62
2,93D,93,D,1,2,1,1,N,31,0,N,88.7624,3.62
2,94E,94,E,1,1,1,15,U,61,0,0,237.844,9.7
2,94E,94,E,1,2,1,15,F,50,0,0,237.844,9.7
2,94E,94,E,1,3,1,15,F,88,0,0,237.844,9.7
2,94E,94,E,1,4,1,15,R,50,0,0,237.844,9.7
2,94E,94,E,1,5,1,15,F,50,0,0,237.844,9.7
2,94E,94,E,1,6,1,15,F,50,0,0,237.844,9.7
2,94E,94,E,1,7,1,15,F,88,0,0,237.844,9.7
2,94E,94,E,1,8,1,15,F,57,0,0,237.844,9.7
2,94E,94,E,1,9,1,15,F,42,0,0,237.844,9.7
2,95G,95,G,1,1,1,9,9,42,0,0,931.76,38
2,95G,95,G,1,2,1,9,9,42,0,0,931.76,38
2,96H,96,H,1,1,1,22,B,2,2,F,1397.64,57
2,97F,97,F,1,1,1,1,R,42,0,0,328.568,13.4
2,97F,97,F,1,2,1,1,R,63,0,0,328.568,13.4
2,98E,98,E,1,1,1,1,B,2,1,F,237.844,9.7
2,98E,98,E,1,2,1,1,F,56,0,0,237.844,9.7
2,99C,99,C,1,1,1,15,F,44,0,0,57.3768,2.34
2,99C,99,C,1,2,1,15,N,31,0,N,57.3768,2.34
2,100D,100,D,1,1,1,5,L,51,0,0,88.7624,3.62
2,100D,100,D,1,2,1,5,N,31,0,N,88.7624,3.62
2,101C,101,C,1,1,1,9,9,50,0,0,57.3768,2.34
2,101C,101,C,1,2,1,9,N,31,0,N,57.3768,2.34
2,102C,102,C,1,1,1,2,L,42,0,0,57.3768,2.34
2,102C,102,C,1,2,1,2,L,42,0,0,57.3768,2.34
2,102C,102,C,1,3,1,2,N,31,0,N,57.3768,2.34
2,103E,103,E,1,1,1,5,F,2,2,R,237.844,9.7
2,103E,103,E,1,2,2,2,L,56,0,0,237.844,9.7
2,104G,104,G,1,1,1,13,9,50,0,0,931.76,38
2,104G,104,G,1,2,1,13,F,56,0,0,931.76,38
2,105A,105,A,1,1,1,22,R,2,1,F,24.52,1
2,106D,106,D,1,1,1,9,F,71,0,0,88.7624,3.62
2,107C,107,C,1,1,1,1,F,51,0,0,57.3768,2.34
2,108B,108,B,1,1,1,5,F,2,2,F,49.04,2
2,109B,109,B,1,1,1,3,F,42,0,0,49.04,2
2,109B,109,B,1,2,1,3,L,41,0,0,49.04,2
2,109B,109,B,1,3,1,3,L,42,0,0,49.04,2
2,110E,110,E,1,1,1,3,F,2,3,R,475.688,19.4
2,110E,110,E,1,2,1,3,L,2,3,R,475.688,19.4
2,111H,111,H,1,1,1,3,N,32,0,N,2795.28,114
2,112D,112,D,1,1,1,3,N,31,0,N,88.7624,3.62
2,113C,113,C,1,1,1,14,R,63,0,0,57.3768,2.34
2,113C,113,C,1,2,1,14,R,62,0,0,57.3768,2.34
2,113C,113,C,1,3,1,14,N,31,0,N,57.3768,2.34
2,114C,114,C,1,1,1,3,9,50,0,0,57.3768,2.34
2,114C,114,C,1,2,1,3,9,44,0,0,57.3768,2.34
2,114C,114,C,1,3,1,3,N,31,0,N,57.3768,2.34
2,115G,115,G,1,1,1,9,R,42,0,0,931.76,38
2,115G,115,G,1,2,1,9,9,41,0,0,931.76,38
2,115G,115,G,1,3,1,9,N,31,0,N,931.76,38
2,116C,116,C,1,1,1,1,L,2,4,F,57.3768,2.34
2,117E,117,E,1,1,1,1,F,44,0,0,237.844,9.7
2,117E,117,E,1,2,1,1,N,31,0,N,237.844,9.7
2,118C,118,C,1,1,1,1,L,2,9,F,57.3768,2.34
2,118C,118,C,1,2,1,1,R,56,0,0,57.3768,2.34
2,119E,119,E,1,1,1,15,F,2,1,L,237.844,9.7
2,120A,120,A,1,1,1,22,F,2,3,R,24.52,1
2,120A,120,A,1,2,1,22,N,32,0,N,24.52,1
2,121C,121,C,1,1,1,3,B,2,1,F,57.3768,2.34
2,122F,122,F,1,1,1,5,F,2,3,F,328.568,13.4
2,123B,123,B,1,1,1,11,F,2,1,R,24.52,1
2,124D,124,D,1,1,1,2,U,44,0,0,88.7624,3.62
2,124D,124,D,1,2,1,2,N,31,0,N,88.7624,3.62
2,125E,125,E,1,1,1,1,N,31,0,N,237.844,9.7
2,125E,125,E,1,2,1,1,R,56,0,0,237.844,9.7
2,126G,126,G,1,1,1,15,F,56,0,0,931.76,38
2,126G,126,G,1,2,1,15,9,42,0,0,931.76,38
2,126G,126,G,1,3,1,15,9,42,0,0,931.76,38
2,126G,126,G,1,4,1,15,9,42,0,0,931.76,38
2,126G,126,G,1,5,1,15,9,42,0,0,931.76,38
2,127F,127,F,1,1,1,2,F,2,3,L,328.568,13.4
2,128B,128,B,1,1,1,3,F,71,0,0,24.52,1
2,128B,128,B,1,2,1,3,R,71,0,0,24.52,1
2,128B,128,B,1,3,1,3,F,56,0,0,24.52,1
2,129D,129,D,1,1,1,1,R,42,0,0,88.7624,3.62
2,130E,130,E,1,1,1,1,R,42,0,0,237.844,9.7
2,130E,130,E,1,2,1,1,N,31,0,N,237.844,9.7
2,130E,130,E,1,3,1,1,T,42,0,0,237.844,9.7
2,130E,130,E,1,4,1,1,L,42,0,0,237.844,9.7
2,131H,131,H,1,1,1,2,F,50,0,0,1397.64,57
2,131H,131,H,1,2,1,2,U,63,0,0,1397.64,57
2,131H,131,H,1,3,1,2,N,31,0,N,1397.64,57
2,132B,132,B,1,1,2,4,L,3,15,F,24.52,1
