PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
1,033T,33,T,4,6,2,1,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,2,1,0,0,U,4,0,0,3,0,0,0,1,1,2,2,2,3,45,0,0,0,0,0,0,112.286,145.298,155.577
1,034T,34,T,4,6,1,1,1,61,680,180,0,0,0,2,5,2,0,0,0,U,0,0,0,0,0,0,0,1,0,0,C,1,3,2,4,1,0,0,0,0,0,U,4,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,24.857,32.165,34.441
1,035W,35,W,4,6,1,1,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,U,U,1,0,2,2,0,0,3,2,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,87.000,112.578,113.091
1,035W,35,W,4,6,2,3,1,61,70,175,0,0,0,8,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,87.000,112.578,113.091
1,035W,35,W,4,6,3,1,1,U,U,U,0,0,0,U,U,21,0,0,0,U,0,0,0,0,0,0,0,0,0,U,C,U,U,U,U,U,U,U,U,U,U,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,U,U,U,0,0,0,87.000,112.578,113.091
1,036T,36,T,4,6,1,1,1,61,1,100,0,0,0,2,1,1,0,0,U,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,85.714,110.914,118.761
1,038V,38,V,4,6,1,1,1,U,U,U,0,0,0,U,U,13,1,U,U,U,0,0,0,0,0,0,0,1,0,0,C,1,1,2,4,5,0,0,1,0,0,U,1,3,6,3,1,1,1,1,1,2,1,40,3,30,0,0,0,0,0,0,111.000,143.634,138.699
1,038V,38,V,4,6,2,3,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,3,6,3,1,1,1,1,1,2,1,7,3,30,0,0,0,0,0,0,111.000,143.634,138.699
1,039C,39,C,4,6,1,1,1,61,2,150,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,1,0,0,1,U,4,0,0,3,0,0,0,2,1,2,2,0,0,30,0,0,0,1,0,0,90.000,116.460,120.443
1,040W,40,W,4,6,1,3,1,U,U,U,0,0,0,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,8,C,U,U,U,U,U,U,U,U,U,U,U,5,2,3,3,2,0,0,1,1,2,1,2,3,45,0,0,0,0,0,0,135.000,174.690,175.487
1,040W,40,W,4,6,2,3,1,61,140,90,0,0,0,2,3,2,0,0,0,U,0,0,0,0,0,0,0,0,0,8,C,1,3,2,2,1,0,0,1,0,0,U,5,2,3,3,2,0,0,1,1,2,1,2,3,45,0,0,0,0,0,0,135.000,174.690,175.487
1,041Z,41,Z,4,6,1,U,1,U,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0,0,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,1,0,0,3,3,0,0,1,1,2,1,0,0,30,U,U,U,U,U,U,2640.000,3416.160,3374.756
1,042M,42,M,4,6,1,1,1,61,U,U,U,U,U,0,U,81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,50,2,30,0,0,0,0,0,0,45.429,58.785,64.029
1,043W,43,W,4,6,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,3,0,0,0,1,1,2,2,2,3,30,,,,,,,159.000,205.746,206.684
1,043W,43,W,4,6,2,1,1,61,390,20,0,0,0,2,1,2,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,4,1,4,3,1,0,0,1,1,2,2,2,3,30,0,0,0,0,0,0,159.000,205.746,206.684
1,044M,44,M,4,6,1,1,1,U,U,U,U,U,U,U,U,1,U,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,1,0,0,0,U,3,3,3,3,1,1,0,1,1,2,U,0,0,30,0,0,0,0,0,0,221.143,286.159,311.687
1,045B,45,B,4,6,1,2,1,61,250,100,0,0,0,2,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,7,0,0,45.000,58.230,65.050
1,046M,46,M,4,6,1,5,1,61,30,140,0,0,0,2,1,56,22,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,1,0,0,U,4,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,51.429,66.549,72.485
1,047M,47,M,4,6,1,2,1,61,1,500,0,0,0,2,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,2,97,1,2,2,2,3,U,1,1,40,3,55,0,0,0,0,0,0,38.571,49.911,54.364
1,047M,47,M,4,6,2,2,1,61,500,997,U,U,3,0,1,11,2,0,8,1,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,U,U,1,U,2,2,3,U,1,1,20,3,55,0,0,0,0,0,0,38.571,49.911,54.364
1,049W,49,W,4,6,1,3,1,U,U,U,0,0,0,U,U,32,1,U,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,1,0,0,30,0,0,0,0,0,0,498.000,644.412,647.351
