H01,H02,H02A,H02B,H03,H05,H06,H07,H08,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,029H,29,H,3,2,2,5.62,221.22,1,2,1,77,121,12,11,1,1,U,9,9,9,9,U,A,A,8,8,8,8,A,2,11,F15JKZ2,2,1,U,U,U,U,1,6,2,2,2,U,U,U,U,U,U,U,U
1,030J,30,J,3,2,1,70.25,2765.25,1,1,1,71,114,2,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,030J,30,J,3,2,2,70.25,2765.25,2,2,1,74,121,12,11,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,031M,31,M,3,2,1,28.10,1106.10,1,1,2,73,121,2,2,1,37,6,B,C,E,N,2,A,A,8,8,8,8,A,2,11,3G68N19,2,1,69,1,1,A,1,10,2,2,2,43,0,1,U,U,U,U,U
1,032N,32,N,3,2,1,140.50,5530.50,1,1,1,72,121,2,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,032N,32,N,3,2,2,140.50,5530.50,1,2,1,74,861,9,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,033I,33,I,3,2,1,28.17,1108.71,1,4,2,78,121,12,11,1,46,U,9,9,9,9,U,A,A,8,8,8,8,A,2,11,FISHKCE,2,U,U,U,U,U,U,A,1,2,2,37,U,U,U,U,U,U,U
1,034L,34,L,3,2,1,9.01,354.79,2,1,1,72,121,8,1,1,38,U,9,9,9,9,U,A,A,8,8,8,8,A,2,11,2K93F19,2,U,U,U,U,U,U,8,2,2,U,27,U,U,U,U,U,U,U
1,035N,35,N,3,2,1,225.33,8869.66,1,1,1,76,113,8,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,035N,35,N,3,2,2,225.33,8869.66,1,2,1,78,122,3,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,036I,36,I,3,2,1,15.53,611.11,1,1,2,78,121,34,15,1,31,A,8,8,8,8,A,A,A,8,8,8,8,A,A,11,F82JVAH,3,1,U,U,U,U,1,8,U,2,2,U,U,U,U,U,U,U,U
1,037J,37,J,3,2,1,62.10,2444.44,1,1,1,74,134,1,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,037J,37,J,3,2,2,62.10,2444.44,1,2,1,73,121,12,11,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,038L,38,L,3,2,1,4.97,195.56,1,1,2,73,113,1,1,1,2,1,F,Y,E,W,5,3,1,R,F,E,W,2,2,13,1D37H3R,2,1,77,1,1,A,1,4,2,2,2,38,0,1,107,-92,-53,689,U
1,038L,38,L,3,2,2,4.97,195.56,1,2,2,76,121,18,3,1,1,11,L,D,E,W,4,A,A,8,8,8,8,A,2,11,6X12Y27,2,1,40,5,3,3,1,5,2,2,2,28,0,1,132,-128,34,9997,U
1,038L,38,L,3,2,3,4.97,195.56,1,2,1,71,622,9,1,1,1,2,R,Z,E,W,1,U,12,F,R,M,S,1,2,11,GAECLE5,2,1,86,1,1,A,1,6,2,2,2,21,0,1,16,-8,-14,36,U
1,039M,39,M,3,2,1,24.84,977.78,2,1,2,72,113,8,1,1,46,0,F,D,E,W,2,37,12,F,L,E,N,1,1,13,1X27F2W,2,1,84,1,2,2,1,12,2,2,2,32,0,1,U,U,U,U,U
1,040N,40,N,3,2,1,124.20,4888.88,1,1,1,U,U,U,U,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
1,040N,40,N,3,2,2,124.20,4888.88,0,2,U,U,U,U,U,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
