PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCUPANTS,DR_PRES,DRIV_EXP,MILEAGE,TYPE_OP,BMCS_REG,DR_CLASS,RD_FREQ,DR_TRAIN,SP_VIOL,DWI_VIOL,RD_VIOL,W_SUSPEN,OTH_VIOL,UNK_VIOL,DDRINKNG,DTEST_RS,L_SOURCE,L_STATUS,L_RESTRI,ADD_REST,PREV_SPD,PREV_OTH,PREV_DWI,PREV_SUS,PREV_ACC,D_LANES,D_MEDIAN,D_ACCESS,D_DIRECT,D_SHOU_L,D_SHOU_R,D_ALIGNM,D_GRADE,D_PAVE_T,D_SUR_CO,D_TRA_CO,D_SP_LIM
1,061F,61,F,4,4,1,113.58,367.32,1,1,12,70,0,0,0,1,2,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,0,30
1,061F,61,F,4,4,2,113.58,367.32,1,1,61,800,0,0,0,3,8,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,3,30
1,062I,62,I,4,4,1,408.87,1322.29,1,1,61,U,0,0,0,1,2,0,0,0,0,1,0,0,C,1,3,0,0,1,0,0,0,0,1,1,3,2,0,0,1,1,2,2,0,30
1,062I,62,I,4,4,2,408.87,1322.29,1,1,61,700,0,0,0,4,2,0,0,0,0,0,0,0,C,1,3,0,0,1,0,0,0,0,2,1,3,2,0,0,1,1,2,2,0,30
1,063N,63,N,4,4,1,1199.35,3878.70,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,4,5,1,1,1,1,2,1,2,2,0,55
1,063N,63,N,4,4,2,1199.35,3878.70,2,1,61,U,0,0,0,2,0,0,0,0,0,0,0,0,C,1,3,U,U,U,U,U,U,U,4,5,1,1,1,1,2,1,2,2,0,55
1,063N,63,N,4,4,3,1199.35,3878.70,2,1,48,5,0,0,0,2,3,0,0,0,0,0,0,0,C,1,3,0,0,1,0,0,0,0,4,5,1,1,1,1,2,1,2,2,0,55
1,064L,64,L,4,4,1,104.67,338.50,2,1,12,U,0,0,0,2,0,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,3,1,2,2,0,30
1,065E,65,E,4,4,1,96.92,313.44,2,1,36,85,0,0,0,1,2,0,0,0,1,1,0,0,C,1,4,0,0,2,0,0,0,0,2,3,3,1,1,0,1,1,2,1,0,30
1,066L,66,L,4,4,1,91.59,296.20,1,1,61,275,0,0,0,4,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,1,5,30
1,067M,67,M,4,4,1,501.55,1622.01,1,1,61,200,0,0,0,2,8,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,0,30
1,067M,67,M,4,4,2,501.55,1622.01,2,1,61,372,0,0,0,2,0,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,0,30
1,068L,68,L,4,4,1,124.30,401.99,1,1,61,360,0,0,0,3,2,0,0,0,0,1,0,0,C,1,3,0,0,2,0,0,0,0,2,1,3,2,0,0,1,1,2,2,0,30
1,069L,69,L,4,4,1,157.01,507.77,2,1,61,550,0,0,0,3,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,1,8,3,1,0,0,1,1,2,1,0,25
1,069L,69,L,4,4,2,157.01,507.77,2,1,61,10,0,0,0,4,0,0,0,0,0,1,0,0,C,1,3,0,0,0,1,0,0,0,1,1,3,1,0,0,1,1,2,1,0,30
1,070N,70,N,4,4,1,3925.15,12693.94,1,1,61,30,0,0,0,2,2,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,071C,71,C,4,4,1,327.10,1057.84,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,1,0,30
1,072C,72,C,4,4,1,523.35,1692.51,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,5,1,3,2,0,0,1,1,2,1,2,30
1,073N,73,N,4,4,1,272.58,881.52,4,1,1,1,0,0,0,5,2,0,0,0,0,1,1,0,C,0,0,0,0,0,0,0,0,U,1,1,3,1,0,0,1,1,2,1,0,30
1,073N,73,N,4,4,2,272.58,881.52,2,1,12,5,0,0,0,2,2,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,1,0,30
1,074M,74,M,4,4,1,152.64,493.64,1,1,61,10,0,0,0,2,0,0,0,0,0,1,0,0,C,1,3,1,0,1,0,0,0,0,2,1,3,2,0,0,1,1,1,1,0,30
1,075L,75,L,4,4,1,81.77,264.44,1,1,61,400,0,0,0,2,2,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,5,8,1,1,2,2,1,1,1,2,0,45
1,076M,76,M,4,4,1,408.87,1322.29,2,1,61,20,0,0,0,2,2,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,2,0,30
1,077L,77,L,4,4,1,115.57,373.75,1,1,61,30,0,0,0,1,2,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,2,0,25
1,077L,77,L,4,4,2,115.57,373.75,1,1,U,U,U,U,U,U,U,U,U,U,U,U,U,0,C,U,U,U,U,U,U,U,U,U,1,3,2,1,4,4,1,1,2,2,0,25
1,078N,78,N,4,4,1,599.68,1939.37,1,1,U,U,U,U,U,U,U,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,1,1,3,1,0,0,3,1,2,1,0,25
1,079I,79,I,4,4,1,129.48,418.74,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,0,0,0,1,0,0,0,3,1,3,2,0,0,1,1,2,1,3,30
1,079I,79,I,4,4,2,129.48,418.74,1,1,61,U,0,0,0,1,0,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,2,1,3,1,0,0,1,1,2,1,3,30
1,080L,80,L,4,4,1,80.68,260.92,1,1,61,17,0,0,0,1,2,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,2,0,30
1,080L,80,L,4,4,2,80.68,260.92,1,1,61,160,0,0,0,1,2,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,2,0,30
1,081I,81,I,4,4,1,735.97,2380.13,1,1,U,U,U,U,U,U,U,0,0,0,0,1,0,0,C,1,3,0,0,0,0,0,0,0,5,1,3,2,0,0,1,1,2,1,0,30
1,081I,81,I,4,4,2,735.97,2380.13,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,5,1,3,2,0,0,1,1,2,1,0,30
